source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,NYR,D,Darren Raddysh,4.52,13.93,7.35,2.75,73.42,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,D,Ryan Graves,7.07,12.76,4.16,0.0,125.29,,,,,,,
CBS,2021-01-07 08:20:41.125491,STL,D,Vince Dunn,6.76,12.33,-0.15,3.94,113.82,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,D,Travis Sanheim,6.19,15.79,-0.92,1.66,87.89,,,,,,,
CBS,2021-01-07 08:20:41.125491,NSH,D,Mattias Ekholm,5.5,17.49,-3.4,2.13,137.78,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,D,Will Butcher,4.47,18.21,5.9,0.72,57.94,,,,,,,
CBS,2021-01-07 08:20:41.125491,PIT,D,John Marino,5.43,17.18,-5.04,2.94,68.53,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,D,Kevan Miller,4.15,12.74,6.56,2.5,73.22,,,,,,,
CBS,2021-01-07 08:20:41.125491,CHI,D,Connor Murphy,4.39,16.25,2.6,0.0,98.83,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,D,Ian Cole,3.06,17.44,3.11,0.0,89.07,,,,,,,
CBS,2021-01-07 08:20:41.125491,WAS,D,Dmitry Orlov,2.83,18.34,-2.83,2.71,89.99,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,D,Dennis Gilbert,3.39,6.58,5.83,0.0,30.26,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,D,T.J. Brodie,4.24,16.09,1.42,0.44,53.34,,,,,,,
CBS,2021-01-07 08:20:41.125491,MIN,D,Brad Hunt,7.39,9.9,-0.47,5.33,103.44,,,,,,,
CBS,2021-01-07 08:20:41.125491,VAN,D,Jalen Chatfield,4.16,12.84,3.96,2.53,64.69,,,,,,,
