team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Edm,39.0,Mike Smith,,,G,G,69.8,0.4,131.3,12.0,26.0,14.0,11.0,,,,,,,,34.875,0.909,1690.205,4.03
SJ,36.0,Brent Burns,1.0,1.0,D,D,35.6,3.5,131.5,14.0,33.0,19.0,11.0,12.5,38.085,13.545,230.965,66.0,129.0,1.7,,,,
Dal,32.0,Jamie Benn,3.0,1.0,"C,LW",LW,32.6,-8.8,133.6,18.5,20.0,1.5,12.0,22.58,30.575,10.775,191.82,135.0,53.1,3.1,,,,
Van,30.0,Oliver Ekman-Larsson,2.0,2.0,D,D,13.6,-18.5,133.8,77.0,34.0,-43.0,12.0,9.2,31.35,8.58,148.2,,,,,,,
NJ,,Ty Smith,2.0,1.0,D,D,18.7,-13.4,134.1,69.0,35.0,-34.0,12.0,4.62,34.225,9.845,115.27,58.6,64.9,0.5,,,,
Min,25.0,Kevin Fiala,3.0,1.0,"LW,RW",LW,35.9,-5.5,135.8,12.0,21.0,9.0,12.0,29.74,34.465,18.14,230.935,41.3,22.6,5.6,,,,
NYR,28.0,Ryan Strome,2.0,1.0,"C,RW",RW,28.3,-11.7,136.8,33.0,26.0,-7.0,12.0,19.395,43.485,14.775,163.795,48.5,33.1,2.6,,,,
Cgy,,Jacob Markstrom,,,G,G,64.1,-5.3,137.2,19.0,27.0,8.0,12.0,,,,,,,,32.86,0.907,1800.785,3.79
Was,,Vitek Vanecek,,,G,G,17.7,-51.7,138.1,45.0,28.0,-17.0,12.0,,,,,,,,12.52,0.906,629.89,1.545
Car,,Teuvo Teravainen,2.0,1.0,"LW,RW",LW,29.0,-12.4,138.1,30.0,22.0,-8.0,12.0,18.885,45.795,14.28,200.105,29.0,28.5,2.6,,,,
Min,27.0,Matt Dumba,,,D,D,10.4,-21.7,140.0,79.0,36.0,-43.0,12.0,7.65,22.59,5.29,157.59,,,,,,,
Bos,,Jeremy Swayman,,,G,G,30.2,-39.2,140.6,32.0,29.0,-3.0,12.0,,,,,,,,11.585,0.911,537.1,2.155
Det,25.0,Alex Nedeljkovic,,,G,G,68.2,-1.3,140.8,16.0,30.0,14.0,12.0,,,,,,,,23.575,0.912,1674.82,4.33
NJ,,Jack Hughes,1.0,1.0,"C,LW",LW,21.2,-20.2,141.4,50.5,23.0,-27.5,12.0,16.46,29.87,7.88,187.745,25.6,27.8,2.4,,,,
VGK,34.0,Alec Martinez,1.0,2.0,D,D,32.4,0.4,141.5,20.0,37.0,17.0,12.0,10.43,27.08,9.09,141.395,67.9,214.2,1.4,,,,
Sea,38.0,Mark Giordano,2.0,1.0,D,D,33.6,1.6,142.8,17.0,38.0,21.0,12.0,10.23,31.76,10.555,201.37,61.2,169.9,1.7,,,,
Phi,28.0,Sean Couturier,1.0,1.0,C,C,35.4,-7.6,143.2,20.5,29.0,8.5,12.0,28.72,41.41,12.85,215.54,59.9,40.2,4.8,,,,
